Symbol,Chart Pattern,BullishBearish,Start,End,Industry
BSET,"Double Top, Adam and Eve",0,11/25/2024,12/02/2024,Furn/Home Furnishings
BKNG,"Double Top, Eve and Adam",0,12/06/2024,12/12/2024,Internet
BRC,Broadening top,0,11/26/2024,12/19/2024,Chemical (Diversified)
BMY,Three Falling Peaks,0,11/25/2024,12/09/2024,Drug
BR,"Double Top, Eve and Eve",0,11/27/2024,12/06/2024,Information Services
CBT,Pipe top,0,11/04/2024,11/11/2024,Chemical (Diversified)
CDNS,Head-and-shoulders top,0,11/26/2024,12/16/2024,Computer Software and Svcs
CDAY,"Double Top, Eve and Eve",0,11/11/2024,11/25/2024,Information Services
CF,Head-and-shoulders top,0,11/21/2024,12/12/2024,Chemical (Basic)
CRL,"Double Top, Eve and Adam",0,11/25/2024,12/10/2024,Biotechnology
CI,Horn top,0,09/03/2024,09/16/2024,Medical Services
CSCO,Head-and-shoulders top,0,11/27/2024,12/12/2024,Computers and Peripherals
CLNE,Head-and-shoulders top,0,10/17/2024,11/27/2024,Natural Gas (Distributor)
CLF,Head-and-shoulders top,0,11/25/2024,12/09/2024,Metals and Mining (Div.)
CNX,Head-and-shoulders top,0,11/12/2024,12/12/2024,Natural Gas (Diversified)
CTSH,Broadening top,0,12/02/2024,12/17/2024,IT Services
CMCO,"Double Top, Adam and Eve",0,11/25/2024,12/09/2024,Machinery
COTY,Pipe top,0,12/02/2024,12/09/2024,Toiletries/Cosmetics
CROX,"Double Top, Adam and Eve",0,12/04/2024,12/11/2024,Shoe
CW,Pipe top,0,11/04/2024,11/11/2024,Machinery
DDS,"Double Top, Adam and Adam",0,11/25/2024,12/11/2024,Retail Store
DFS,"Double Top, Adam and Eve",0,11/06/2024,11/29/2024,Financial Services
ECL,"Double Top, Adam and Adam",0,12/06/2024,12/17/2024,Chemical (Specialty)
EIX,Triple top,0,09/04/2024,11/27/2024,Electric Utility (West)
EOG,"Double Top, Adam and Eve",0,10/07/2024,11/21/2024,Natural Gas (Distributor)
EQT,Pipe top,0,11/18/2024,11/25/2024,Natural Gas (Diversified)
EVH,Falling wedge,0,11/21/2024,12/19/2024,Healthcare Information
EXPI,"Double Top, Eve and Eve",0,09/18/2024,11/06/2024,E-Commerce
EXPD,Triple top,0,11/25/2024,12/11/2024,Air Transport
FLS,Triple top,0,11/25/2024,12/12/2024,Machinery
FMC,Three Falling Peaks,0,11/26/2024,12/09/2024,Chemical (Basic)
FORM,"Double Bottom, Eve and Eve",0,10/31/2024,11/19/2024,Semiconductor
FDP,"Double Top, Adam and Adam",0,11/12/2024,12/03/2024,Food Processing
FRD,"Double Top, Adam and Eve",0,12/02/2024,12/09/2024,Building Materials
IT,Pipe top,0,11/04/2024,11/11/2024,IT Services
GIS,"Double Top, Adam and Adam",0,12/02/2024,12/13/2024,Food Processing
GS,"Double Top, Eve and Eve",0,11/11/2024,11/29/2024,Securities Brokerage
HIG,"Double Top, Eve and Eve",0,10/17/2024,11/27/2024,Insurance (Prop/Casualty)
HTLD,"Double Top, Adam and Eve",0,11/14/2024,11/25/2024,Trucking/Transp. Leasing
HELE,"Double Top, Adam and Eve",0,11/25/2024,12/09/2024,Toiletries/Cosmetics
HP,Head-and-shoulders top,0,10/14/2024,11/22/2024,Petroleum (Producing)
HSIC,"Double Top, Eve and Eve",0,11/27/2024,12/11/2024,Medical Supplies
HNI,"Double Top, Adam and Eve",0,11/12/2024,11/25/2024,Furn/Home Furnishings
HOLX,Triple top,0,11/13/2024,12/10/2024,Medical Supplies
DHI,"Double Top, Eve and Adam",0,11/04/2024,11/25/2024,Homebuilding
JBHT,Pipe top,0,11/04/2024,11/11/2024,Trucking/Transp. Leasing
IEX,"Double Top, Adam and Adam",0,11/06/2024,11/25/2024,Machinery
ITW,"Double Top, Adam and Eve",0,11/06/2024,11/27/2024,Metal Fabricating
IBP,"Double Top, Adam and Adam",0,11/05/2024,11/26/2024,Retail Building Supply
IIIN,"Double Top, Adam and Adam",0,12/09/2024,12/17/2024,Building Materials
PODD,"Double Top, Eve and Eve",0,11/11/2024,12/12/2024,Medical Supplies
INTC,Triple top,0,11/14/2024,12/02/2024,Semiconductor
JAZZ,"Triangle, symmetrical",0,11/13/2024,12/19/2024,Biotechnology
KALU,Triple top,0,11/06/2024,12/09/2024,Metals and Mining (Div.)
KBH,Pipe top,0,10/14/2024,10/21/2024,Homebuilding
KFRC,"Double Top, Eve and Adam",0,12/02/2024,12/11/2024,Human Resources
KLAC,"Double Top, Eve and Eve",0,12/04/2024,12/18/2024,Semiconductor Cap Equip.
LZB,Triple top,0,11/25/2024,12/18/2024,Furn/Home Furnishings
LRCX,Triple top,0,12/04/2024,12/18/2024,Semiconductor Cap Equip.
MHO,"Double Top, Adam and Adam",0,11/11/2024,11/25/2024,Homebuilding
MTSI,"Double Top, Eve and Eve",0,12/04/2024,12/16/2024,Semiconductor
MRTN,"Double Top, Eve and Eve",0,12/02/2024,12/11/2024,Trucking/Transp. Leasing
MRCY,"Triangle, symmetrical",0,12/09/2024,12/19/2024,Computers and Peripherals
NVDA,Head-and-shoulders top,0,11/08/2024,12/05/2024,Semiconductor
OGE,"Double Top, Adam and Eve",0,11/12/2024,11/27/2024,Electric Utility (Central)
OR,"Triangle, descending",0,09/30/2024,12/19/2024,Metals and Mining (Div.)
PANW,"Double Top, Eve and Eve",0,12/09/2024,12/17/2024,Computer Software and Svcs
QTWO,Pipe top,0,12/02/2024,12/09/2024,E-Commerce
RRC,"Double Top, Eve and Adam",0,11/25/2024,12/12/2024,Petroleum (Producing)
ROK,Triple top,0,11/25/2024,12/13/2024,Diversified Co.
ROG,Horn top,0,11/25/2024,12/09/2024,Electronics
ROL,Horn top,0,11/11/2024,11/25/2024,Industrial Services
RGLD,Triple top,0,10/21/2024,12/11/2024,Metals and Mining (Div.)
R,"Double Top, Adam and Eve",0,11/14/2024,11/25/2024,Trucking/Transp. Leasing
SCHW,"Double Top, Eve and Eve",0,11/29/2024,12/12/2024,Securities Brokerage
SIGI,"Double Top, Adam and Adam",0,11/11/2024,11/29/2024,Insurance (Prop/Casualty)
SCI,"Double Top, Adam and Eve",0,11/11/2024,11/25/2024,Industrial Services
SHOP,"Double Top, Adam and Adam",0,12/06/2024,12/17/2024,E-Commerce
SKYW,"Double Top, Eve and Eve",0,11/11/2024,11/27/2024,Air Transport
SCS,"Double Top, Adam and Adam",0,11/12/2024,11/25/2024,Furn/Home Furnishings
TEVA,Triple bottom,0,11/18/2024,12/13/2024,Drug
TXT,Pipe top,0,11/04/2024,11/11/2024,Diversified Co.
TKR,"Double Top, Adam and Adam",0,11/25/2024,12/09/2024,Metal Fabricating
TJX,"Double Top, Eve and Eve",0,11/27/2024,12/11/2024,Retail Store
TSCO,"Double Top, Adam and Eve",0,11/08/2024,12/02/2024,Retail Building Supply
TRV,"Double Top, Adam and Eve",0,10/18/2024,11/29/2024,Insurance (Prop/Casualty)
UGI,Pipe top,0,12/02/2024,12/02/2024,Natural Gas (Distributor)
VLO,"Double Top, Eve and Eve",0,10/04/2024,11/19/2024,Petroleum (Integrated)
VECO,Falling wedge,0,12/02/2024,12/17/2024,Precision Instrument
VEEV,Pipe top,0,12/02/2024,12/09/2024,Healthcare Information
MDRX,"Double Top, Adam and Adam",0,11/11/2024,12/03/2024,Healthcare Information
VRTX,"Double Top, Adam and Adam",0,12/10/2024,12/17/2024,Biotechnology
VC,"Double Top, Adam and Eve",0,11/25/2024,12/05/2024,Electronics
VMC,Pipe top,0,11/04/2024,11/11/2024,Cement and Aggregates
WAT,Triple top,0,11/27/2024,12/11/2024,Precision Instrument
WEX,"Double Top, Adam and Eve",0,11/06/2024,11/29/2024,Information Services
WPM,"Double Top, Adam and Eve",0,11/22/2024,12/09/2024,Metals and Mining (Div.)
DDD,"Double Bottom, Eve and Eve",0,11/14/2024,12/03/2024,Electronics
ABT,Head-and-shoulders top,0,10/18/2024,11/27/2024,Medical Supplies
ANF,Head-and-shoulders top,0,11/25/2024,12/04/2024,Apparel
ALB,"Triangle, ascending",0,11/11/2024,12/03/2024,Chemical (Diversified)
AA,"Double Top, Adam and Eve",0,11/07/2024,11/26/2024,Aerospace/Defense
ARW,Pipe bottom,0,11/11/2024,11/18/2024,Electronics
AGO,"Double Top, Adam and Adam",0,11/12/2024,11/25/2024,Insurance (Life)
AVNT,"Double Top, Adam and Eve",0,11/06/2024,11/25/2024,Chemical (Specialty)
BRC,Ugly double bottom,0,11/18/2024,12/03/2024,Chemical (Diversified)
COR,"Double Top, Eve and Eve",0,11/11/2024,11/29/2024,Biotechnology
CI,Horn top,0,09/03/2024,09/16/2024,Medical Services
CTAS,"Double Top, Eve and Eve",0,11/11/2024,11/26/2024,Industrial Services
CLX,"Double Top, Adam and Adam",0,11/22/2024,12/06/2024,Household Products
CRH,"Double Top, Eve and Eve",0,11/27/2024,12/05/2024,Cement and Aggregates
XRAY,Ugly double bottom,0,11/08/2024,12/10/2024,Medical Supplies
EXP,Broadening top,0,10/07/2024,12/10/2024,Cement and Aggregates
ECL,Multi-peaks,0,08/26/2024,12/12/2024,Chemical (Specialty)
FAST,"Double Top, Eve and Eve",0,11/11/2024,11/27/2024,Retail Building Supply
GPRO,Ugly double bottom,0,11/20/2024,12/05/2024,Electronics
HE,"Triangle, ascending",0,11/05/2024,12/09/2024,Electric Utility (West)
HL,Head-and-shoulders bottom,0,11/12/2024,12/06/2024,Metals and Mining (Div.)
HD,"Double Top, Adam and Adam",0,11/26/2024,12/09/2024,Retail Building Supply
IDXX,"Double Bottom, Adam and Adam",0,10/31/2024,11/21/2024,Drug
ILMN,Ugly double bottom,0,11/19/2024,12/04/2024,Biotechnology
INCY,"Double Top, Adam and Adam",0,11/27/2024,12/06/2024,Drug
JKHY,"Double Bottom, Eve and Eve",0,11/20/2024,12/05/2024,IT Services
KALU,Triple top,0,11/25/2024,12/09/2024,Metals and Mining (Div.)
LANC,"Double Bottom, Eve and Adam",0,11/19/2024,12/06/2024,Food Processing
LEN,"Double Top, Adam and Eve",0,11/05/2024,11/25/2024,Homebuilding
LXU,"Triangle, symmetrical",0,10/10/2024,12/12/2024,Building Materials
MLM,Head-and-shoulders top,0,10/30/2024,11/25/2024,Cement and Aggregates
MAS,"Double Top, Adam and Eve",0,11/25/2024,12/09/2024,Building Materials
NOV,Triple top,0,11/06/2024,11/25/2024,Oilfield Svcs/Equipment
NEU,"Triangle, descending",0,11/19/2024,12/12/2024,Chemical (Specialty)
ORCL,Broadening top,0,11/11/2024,12/09/2024,Computer Software and Svcs
OXM,"Double Top, Adam and Adam",0,12/02/2024,12/11/2024,Apparel
PETS,Horn bottom,0,11/18/2024,12/02/2024,Medical Services
PCG,Broadening top,0,10/15/2024,12/11/2024,Electric Utility (West)
PFG,"Double Top, Eve and Adam",0,11/11/2024,11/27/2024,Insurance (Diversified)
RHI,"Triangle, symmetrical",0,11/13/2024,12/12/2024,Human Resources
RCKY,"Triangle, ascending",0,11/12/2024,12/09/2024,Shoe
RGLD,"Double Bottom, Adam and Adam",0,11/26/2024,12/06/2024,Metals and Mining (Div.)
SAND,"Broadening top, right-angled and ascending",0,11/22/2024,12/12/2024,Metals and Mining (Div.)
SXI,"Triangle, ascending",0,11/11/2024,12/12/2024,Diversified Co.
TECH,Pipe bottom,0,11/11/2024,11/18/2024,Biotechnology
TDOC,Pipe top,0,11/25/2024,12/02/2024,Healthcare Information
UIS,"Double Top, Eve and Adam",0,11/08/2024,12/05/2024,Computers and Peripherals
UNH,"Double Top, Adam and Adam",0,11/11/2024,12/04/2024,Medical Services
VMI,"Double Top, Eve and Eve",0,11/06/2024,11/27/2024,Metal Fabricating
AMWD,"Double Top, Adam and Adam",0,11/11/2024,11/25/2024,Building Materials
ASH,"Double Top, Adam and Adam",0,11/25/2024,12/02/2024,Chemical (Basic)
BALL,"Double Top, Adam and Eve",0,11/14/2024,11/27/2024,Packaging and Container
BA,Pipe bottom,0,11/11/2024,11/18/2024,Aerospace/Defense
BRKR,Pipe bottom,0,11/11/2024,11/18/2024,Precision Instrument
CBT,"Double Top, Adam and Adam",0,11/25/2024,12/04/2024,Chemical (Diversified)
CAL,"Double Top, Adam and Adam",0,11/25/2024,12/04/2024,Shoe
CHD,"Double Top, Eve and Adam",0,11/22/2024,12/02/2024,Household Products
CCRN,Pipe bottom,0,11/11/2024,11/18/2024,Human Resources
FANG,"Double Top, Adam and Eve",0,11/06/2024,11/22/2024,Petroleum (Producing)
EME,"Triangle, symmetrical",0,11/14/2024,12/04/2024,Industrial Services
FICO,"Triangle, ascending",0,11/13/2024,12/05/2024,IT Services
GMS,Head-and-shoulders top,0,11/12/2024,12/04/2024,Cement and Aggregates
HLIT,Ugly double bottom,0,10/29/2024,11/19/2024,Telecom. Equipment
HUN,Triple bottom,0,11/14/2024,11/26/2024,Chemical (Specialty)
IDA,"Double Top, Adam and Eve",0,11/13/2024,11/25/2024,Electric Utility (West)
IRM,"Double Bottom, Adam and Eve",0,11/06/2024,11/15/2024,Industrial Services
M,Broadening top,0,10/17/2024,12/02/2024,Retail Store
MGY,Pipe top,0,11/18/2024,11/25/2024,Petroleum (Producing)
MKTX,"Double Top, Eve and Eve",0,10/18/2024,10/30/2024,Securities Brokerage
MTRN,"Double Top, Adam and Adam",0,11/25/2024,12/03/2024,Metals and Mining (Div.)
MOS,Triple bottom,0,11/12/2024,11/26/2024,Chemical (Diversified)
MUR,Triple top,0,11/12/2024,11/25/2024,Petroleum (Integrated)
NBR,Pipe top,0,11/04/2024,11/11/2024,Oilfield Svcs/Equipment
NWL,"Double Bottom, Eve and Eve",0,11/05/2024,11/18/2024,Household Products
OXY,Head-and-shoulders top,0,11/06/2024,11/22/2024,Petroleum (Producing)
OLN,"Double Top, Adam and Eve",0,11/25/2024,12/02/2024,Chemical (Basic)
ON,"Double Top, Adam and Adam",0,11/25/2024,12/02/2024,Semiconductor
OMI,"Double Bottom, Adam and Eve",0,11/05/2024,11/21/2024,Medical Supplies
PETS,"Double Bottom, Eve and Adam",0,11/19/2024,12/02/2024,Medical Services
PINC,"Double Top, Eve and Adam",0,11/06/2024,11/25/2024,Healthcare Information
RTX,"Triangle, descending",0,11/05/2024,12/04/2024,Aerospace/Defense
RGA,"Double Top, Eve and Eve",0,11/15/2024,11/25/2024,Insurance (Life)
SLB,"Double Top, Eve and Eve",0,11/12/2024,11/25/2024,Oilfield Svcs/Equipment
STR,"Double Top, Eve and Eve",0,11/12/2024,11/21/2024,Natural Gas (Diversified)
SO,Head-and-shoulders top,0,09/05/2024,11/27/2024,Electric Utility (East)
SRDX,Rising wedge,0,10/25/2024,12/05/2024,Medical Supplies
TDOC,"Double Top, Adam and Adam",0,11/25/2024,12/02/2024,Healthcare Information
TER,"Double Bottom, Adam and Eve",0,11/05/2024,11/20/2024,Semiconductor Cap Equip.
TEVA,"Double Bottom, Adam and Eve",0,11/15/2024,11/29/2024,Drug
ACN,"Double Bottom, Adam and Eve",0,01/02/2025,01/13/2025,IT Services
AEIS,Horn top,0,01/06/2025,01/21/2025,Semiconductor
AA,Pipe top,0,01/13/2025,01/21/2025,Aerospace/Defense
ANET,Dead-cat bounce,0,01/27/2025,01/27/2025,E-Commerce
ASH,"Double Top, Eve and Eve",0,01/02/2025,01/21/2025,Chemical (Basic)
AIZ,Head-and-shoulders bottom,0,12/18/2024,01/22/2025,Insurance (Diversified)
AGO,Pipe bottom,0,01/06/2025,01/13/2025,Insurance (Life)
ADP,"Double Bottom, Adam and Adam",0,01/06/2025,01/13/2025,IT Services
AXS,Head-and-shoulders bottom,0,12/20/2024,01/24/2025,Insurance (Prop/Casualty)
BBW,Pipe bottom,0,01/13/2025,01/21/2025,Retail (Special Lines)
CLS,Dead-cat bounce,0,01/27/2025,01/27/2025,Electronics
CDAY,"Double Bottom, Eve and Eve",0,01/10/2025,01/21/2025,Information Services
CIEN,Dead-cat bounce,0,01/27/2025,01/27/2025,Telecom. Equipment
CLNE,Ugly double bottom,0,12/30/2024,01/13/2025,Natural Gas (Distributor)
CNA,Pipe bottom,0,01/06/2025,01/13/2025,Insurance (Prop/Casualty)
CXW,"Double Top, Adam and Eve",0,12/10/2024,01/21/2025,Industrial Services
EXP,Pipe bottom,0,01/06/2025,01/13/2025,Cement and Aggregates
GNW,Pipe bottom,0,01/06/2025,01/13/2025,Insurance (Life)
GOOGL,"Triangle, ascending",0,12/17/2024,01/30/2025,Internet
HP,Pipe top,0,01/13/2025,01/21/2025,Petroleum (Producing)
HSIC,Head-and-shoulders bottom,0,12/20/2024,01/13/2025,Medical Supplies
IPG,Pipe bottom,0,01/06/2025,01/13/2025,Advertising
JKHY,"Double Bottom, Adam and Adam",0,01/06/2025,01/14/2025,IT Services
JBLU,Dead-cat bounce,0,01/28/2025,01/28/2025,Air Transport
LHX,"Double Top, Adam and Adam",0,01/21/2025,01/27/2025,Aerospace/Defense
LNC,Pipe bottom,0,01/06/2025,01/13/2025,Insurance (Life)
MGY,Pipe top,0,01/13/2025,01/21/2025,Petroleum (Producing)
MANH,Dead-cat bounce,0,01/29/2025,01/29/2025,IT Services
MAN,Pipe bottom,0,01/06/2025,01/13/2025,Human Resources
MUR,Pipe top,0,01/06/2025,01/13/2025,Petroleum (Integrated)
OMC,Pipe bottom,0,01/06/2025,01/13/2025,Advertising
OTEX,Pipe bottom,0,01/06/2025,01/13/2025,E-Commerce
PKE,Pipe bottom,0,01/06/2025,01/13/2025,Chemical (Specialty)
PTEN,Pipe top,0,01/13/2025,01/21/2025,Oilfield Svcs/Equipment
PCTY,Head-and-shoulders bottom,0,01/02/2025,01/22/2025,E-Commerce
PLXS,Triple top,0,11/06/2024,01/22/2025,Electronics
PRU,"Double Bottom, Eve and Adam",0,12/18/2024,01/13/2025,Insurance (Life)
KWR,Pipe bottom,0,01/06/2025,01/13/2025,Chemical (Specialty)
DGX,Triple bottom,0,12/19/2024,01/16/2025,Medical Services
SMTC,Dead-cat bounce,0,01/27/2025,01/27/2025,Semiconductor Cap Equip.
SLGN,Head-and-shoulders bottom,0,12/23/2024,01/23/2025,Packaging and Container
STR,Pipe top,0,01/13/2025,01/21/2025,Natural Gas (Diversified)
SSYS,Horn bottom,0,12/30/2024,01/13/2025,Electronics
TKR,Ugly double bottom,0,01/03/2025,01/27/2025,Metal Fabricating
TZOO,"Triangle, descending",0,12/09/2024,01/30/2025,Internet
TREX,Pipe bottom,0,01/06/2025,01/13/2025,Building Materials
UHAL,"Double Bottom, Adam and Adam",0,12/20/2024,01/13/2025,Trucking/Transp. Leasing
UNM,Head-and-shoulders bottom,0,12/11/2024,12/30/2024,Insurance (Diversified)
WWW,Broadening bottom,0,12/26/2024,01/22/2025,Shoe
ABT,"Double Bottom, Eve and Adam",0,12/19/2024,01/15/2025,Medical Supplies
ANF,Triple top,0,10/17/2024,01/07/2025,Apparel
ADBE,Pipe bottom,0,01/06/2025,01/13/2025,Computer Software and Svcs
A,Ugly double bottom,0,11/20/2024,12/19/2024,Precision Instrument
AKAM,Pipe bottom,0,01/06/2025,01/13/2025,E-Commerce
AMZN,Triple bottom,0,12/20/2024,01/14/2025,Internet
APH,Head-and-shoulders bottom,0,01/02/2025,01/17/2025,Electronics
AGO,"Double Bottom, Eve and Adam",0,12/18/2024,01/10/2025,Insurance (Life)
BAH,Triple bottom,0,12/19/2024,01/08/2025,IT Services
BFH,Pipe bottom,0,01/06/2025,01/13/2025,Information Services
BMY,"Double Bottom, Adam and Adam",0,12/13/2024,01/13/2025,Drug
^DJU,"Double Bottom, Eve and Adam",0,12/19/2024,01/13/2025,None
^DJT,Triple bottom,0,12/20/2024,01/13/2025,None
DUK,"Double Bottom, Adam and Eve",0,12/18/2024,01/13/2025,Electric Utility (East)
EMR,Pipe bottom,0,01/06/2025,01/13/2025,Computers and Peripherals
EXPD,Diamond bottom,0,12/23/2024,01/22/2025,Air Transport
XOM,Triple bottom,0,12/20/2024,01/10/2025,Petroleum (Integrated)
GD,Triple bottom,0,12/12/2024,01/06/2025,Aerospace/Defense
IIIN,Pipe bottom,0,01/06/2025,01/13/2025,Building Materials
INTC,"Double Bottom, Eve and Eve",0,12/20/2024,01/13/2025,Semiconductor
IRM,Triple bottom,0,12/19/2024,01/10/2025,Industrial Services
JBLU,"Triangle, symmetrical",0,12/30/2024,01/17/2025,Air Transport
KEYS,Triple bottom,0,12/19/2024,01/13/2025,Precision Instrument
LNC,"Double Bottom, Adam and Adam",0,12/20/2024,01/10/2025,Insurance (Life)
MCO,Pipe bottom,0,01/06/2025,01/13/2025,Information Services
MS,"Double Bottom, Eve and Adam",0,12/18/2024,01/13/2025,Securities Brokerage
NTGR,Pipe bottom,0,01/06/2025,01/13/2025,Telecom. Equipment
NWL,"Broadening top, right-angled and descending",0,12/27/2024,01/17/2025,Household Products
ORCL,Pipe bottom,0,01/06/2025,01/13/2025,Computer Software and Svcs
OUT,Falling wedge,0,12/16/2024,01/13/2025,Advertising
PANW,Pipe bottom,0,01/06/2025,01/13/2025,Computer Software and Svcs
PFG,"Double Bottom, Adam and Adam",0,12/20/2024,01/13/2025,Insurance (Diversified)
PEG,"Double Bottom, Adam and Adam",0,12/20/2024,01/13/2025,Electric Utility (East)
PSTG,Horn bottom,0,12/30/2024,01/13/2025,Computers and Peripherals
R,Triple bottom,0,12/23/2024,01/10/2025,Trucking/Transp. Leasing
SBH,Pipe bottom,0,12/30/2024,01/06/2025,Toiletries/Cosmetics
SWX,"Double Bottom, Adam and Adam",0,12/18/2024,01/10/2025,Natural Gas (Distributor)
SR,"Double Bottom, Adam and Adam",0,12/18/2024,01/10/2025,Natural Gas (Distributor)
TDOC,"Triangle, symmetrical",0,12/16/2024,01/23/2025,Healthcare Information
TDC,Head-and-shoulders bottom,0,01/03/2025,01/17/2025,Computer Software and Svcs
TXT,"Double Bottom, Adam and Eve",0,12/20/2024,01/08/2025,Diversified Co.
TSCO,Head-and-shoulders bottom,0,12/19/2024,01/16/2025,Retail Building Supply
VFC,Pipe bottom,0,12/30/2024,01/06/2025,Apparel
WPM,"Double Bottom, Adam and Adam",0,12/30/2024,01/13/2025,Metals and Mining (Div.)
XEL,Pipe bottom,0,01/06/2025,01/13/2025,Electric Utility (West)
ANF,Pipe bottom,0,12/09/2024,12/16/2024,Apparel
ABM,"Double Bottom, Adam and Eve",0,12/18/2024,01/07/2025,Industrial Services
ACIW,"Double Bottom, Adam and Eve",0,12/30/2024,01/07/2025,IT Services
AES,"Double Bottom, Adam and Adam",0,12/19/2024,12/30/2024,Electric Utility (East)
AFL,"Double Bottom, Eve and Adam",0,12/18/2024,01/13/2025,Insurance (Diversified)
ALB,"Double Bottom, Eve and Adam",0,01/02/2025,01/10/2025,Chemical (Diversified)
AEE,"Double Bottom, Adam and Eve",0,12/19/2024,01/06/2025,Electric Utility (Central)
AEP,"Double Bottom, Adam and Eve",0,12/19/2024,01/08/2025,Electric Utility (Central)
AIG,"Double Bottom, Adam and Adam",0,12/18/2024,01/10/2025,Insurance (Prop/Casualty)
ARCB,"Double Bottom, Eve and Adam",0,12/30/2024,01/13/2025,Trucking/Transp. Leasing
ACGL,"Double Bottom, Eve and Eve",0,12/20/2024,01/13/2025,Insurance (Prop/Casualty)
ATO,"Double Bottom, Adam and Eve",0,12/19/2024,01/06/2025,Natural Gas (Diversified)
BMRN,"Triangle, ascending",0,11/11/2024,01/03/2025,Biotechnology
BR,Broadening bottom,0,12/20/2024,01/10/2025,Information Services
COR,"Double Bottom, Eve and Eve",0,12/19/2024,01/02/2025,Biotechnology
CNP,"Double Bottom, Adam and Eve",0,12/10/2024,01/08/2025,Electric Utility (Central)
CENX,"Double Bottom, Adam and Adam",0,12/20/2024,01/03/2025,Metals and Mining (Div.)
CTAS,"Double Bottom, Adam and Eve",0,12/20/2024,12/30/2024,Industrial Services
CNO,"Double Bottom, Adam and Adam",0,12/18/2024,01/10/2025,Insurance (Diversified)
CMTL,Dead-cat bounce,0,01/13/2025,01/13/2025,Telecom. Equipment
GLW,Triple bottom,0,12/18/2024,01/13/2025,Telecom. Equipment
CTS,Pipe top,0,11/04/2024,11/11/2024,Electronics
CMI,Triple bottom,0,12/20/2024,01/03/2025,Machinery
CW,"Double Bottom, Eve and Eve",0,12/18/2024,01/13/2025,Machinery
DFS,"Double Bottom, Eve and Adam",0,12/18/2024,01/10/2025,Financial Services
DTE,Head-and-shoulders bottom,0,12/10/2024,12/30/2024,Electric Utility (Central)
EBAY,"Double Bottom, Adam and Adam",0,12/30/2024,01/03/2025,Internet
EL,"Double Bottom, Adam and Adam",0,01/03/2025,01/10/2025,Toiletries/Cosmetics
EVRG,"Double Bottom, Eve and Eve",0,12/19/2024,01/13/2025,Electric Utility (Central)
FFIV,Triple bottom,0,12/20/2024,01/13/2025,Internet
FARO,Triple bottom,0,12/20/2024,01/13/2025,Precision Instrument
FRD,Pipe top,0,12/02/2024,12/09/2024,Building Materials
GME,Horn top,0,12/23/2024,01/06/2025,Retail (Special Lines)
GL,Pipe bottom,0,12/02/2024,12/09/2024,Insurance (Life)
GS,"Double Bottom, Eve and Eve",0,12/18/2024,01/13/2025,Securities Brokerage
GFF,"Double Bottom, Adam and Eve",0,12/30/2024,01/08/2025,Building Materials
HIG,"Double Bottom, Eve and Adam",0,12/20/2024,01/10/2025,Insurance (Prop/Casualty)
HD,"Double Bottom, Adam and Eve",0,12/20/2024,01/08/2025,Retail Building Supply
DHI,"Double Bottom, Adam and Eve",0,12/19/2024,01/13/2025,Homebuilding
HUBG,"Double Bottom, Adam and Adam",0,12/20/2024,01/13/2025,Trucking/Transp. Leasing
IEX,"Double Bottom, Adam and Adam",0,01/03/2025,01/13/2025,Machinery
PODD,"Double Bottom, Eve and Eve",0,12/19/2024,01/02/2025,Medical Supplies
IPAR,Triple bottom,0,12/23/2024,01/13/2025,Toiletries/Cosmetics
IBKR,"Double Bottom, Eve and Adam",0,12/20/2024,01/02/2025,Securities Brokerage
KALU,Triple bottom,0,12/20/2024,01/08/2025,Metals and Mining (Div.)
LZB,Triple bottom,0,12/20/2024,01/10/2025,Furn/Home Furnishings
LLY,"Double Top, Adam and Adam",0,12/20/2024,01/13/2025,Drug
L,"Double Bottom, Adam and Adam",0,12/19/2024,01/13/2025,Insurance (Prop/Casualty)
LOW,Triple bottom,0,12/20/2024,01/08/2025,Retail Building Supply
MTSI,"Double Bottom, Eve and Adam",0,01/02/2025,01/13/2025,Semiconductor
MTRX,"Double Bottom, Adam and Adam",0,12/30/2024,01/13/2025,Oilfield Svcs/Equipment
^IXIC,Triple top,0,12/16/2024,01/06/2025,None
NFG,"Double Bottom, Eve and Eve",0,11/07/2024,12/20/2024,Natural Gas (Diversified)
NI,"Double Bottom, Eve and Eve",0,12/19/2024,01/06/2025,Electric Utility (Central)
NTNX,"Double Bottom, Eve and Eve",0,01/02/2025,01/13/2025,E-Commerce
OXM,"Double Bottom, Adam and Adam",0,12/12/2024,12/30/2024,Apparel
PAYX,"Double Bottom, Adam and Adam",0,12/18/2024,01/06/2025,IT Services
PPG,"Double Bottom, Adam and Adam",0,01/03/2025,01/10/2025,Chemical (Diversified)
PPL,"Double Bottom, Adam and Adam",0,12/19/2024,01/13/2025,Electric Utility (East)
RTX,Triple bottom,0,12/09/2024,01/06/2025,Aerospace/Defense
ROG,Horn top,0,11/25/2024,12/09/2024,Electronics
SAIA,"Double Bottom, Adam and Adam",0,01/02/2025,01/10/2025,Trucking/Transp. Leasing
SKYW,"Double Bottom, Eve and Eve",0,12/18/2024,12/30/2024,Air Transport
SO,"Double Bottom, Adam and Adam",0,01/06/2025,01/13/2025,Electric Utility (East)
SNPS,Head-and-shoulders bottom,0,12/20/2024,01/14/2025,Computer Software and Svcs
TDY,"Double Bottom, Eve and Eve",0,01/06/2025,01/13/2025,Aerospace/Defense
